gene
NDUFA6
TALDO1
NDUFB4
PGAM1
G6PD
PDHB
NDUFA4
ATP5PB
CS
ACO2
MDH2
FH
COX4I1
NDUFB7
PGD
PKM
HK3
PDK2
PDK4
HK2
NDUFA2
ATP5MC1
PFKL
LDHA
COX7A2
NDUFB1
IDH3A
COX6A1
SLC16A3
SDHB
SUCLA2
ENO2
CYC1
COX5A
ALDOA
PDK1
COX6B1
PDK3
COX5B
TKT
PGK1
HK1
SDHD
UQCRB
NDUFB2
ENO3
SDHC
PDHA2
ATP5F1B
SLC16A1
PFKP
SDHA
PGAM2
LDHC
PDHA1
PKLR
NDUFA1
ATP5F1A
NDUFA5
ALDOC
NDUFB6
ENO1
UQCRC2
IDH2
PGK2
NDUFA3
ATP5F1D
ATP5F1C
OGDH
TPI1
NDUFA7
GPI
ALDOB
NDUFB5
NDUFB3
UQCRC1
COX7A1
PFKM
LDHB
GAPDH
