,RNA_ACO2,RNA_ALDOA,RNA_ALDOB,RNA_ALDOC,RNA_COX4I1,RNA_COX5A,RNA_COX5B,RNA_COX6A1,RNA_COX6B1,RNA_COX7A1,RNA_COX7A2,RNA_CS,RNA_CYC1,RNA_ENO1,RNA_ENO2,RNA_ENO3,RNA_FH,RNA_G6PD,RNA_GAPDH,RNA_GPI,RNA_HK1,RNA_HK2,RNA_HK3,RNA_IDH2,RNA_IDH3A,RNA_LDHA,RNA_LDHB,RNA_LDHC,RNA_MDH2,RNA_NDUFA1,RNA_NDUFA2,RNA_NDUFA3,RNA_NDUFA4,RNA_NDUFA5,RNA_NDUFA6,RNA_NDUFA7,RNA_NDUFB1,RNA_NDUFB2,RNA_NDUFB3,RNA_NDUFB4,RNA_NDUFB5,RNA_NDUFB6,RNA_NDUFB7,RNA_OGDH,RNA_PDHA1,RNA_PDHB,RNA_PDK1,RNA_PDK2,RNA_PDK3,RNA_PDK4,RNA_PFKL,RNA_PFKM,RNA_PFKP,RNA_PGAM1,RNA_PGAM2,RNA_PGD,RNA_PGK1,RNA_PGK2,RNA_PKLR,RNA_SDHA,RNA_SDHB,RNA_SDHC,RNA_SDHD,RNA_SLC16A1,RNA_SLC16A3,RNA_SUCLA2,RNA_TALDO1,RNA_TKT,RNA_TPI1,RNA_UQCRB,RNA_UQCRC1,RNA_UQCRC2
TCGA-3C-AAAU,-0.11625109874591698,-0.21498581775205278,1.908123298905077,0.09810929667212423,0.2054413741054699,-0.5484734863560802,-1.016395091696938,-0.9534766094662285,-0.9854947853268098,-1.001107680735398,-2.234601749870371,-0.746056550678425,-0.5799054685778977,-0.5902009013589461,1.6029045962258355,1.6762050613012685,-0.7464317697547683,0.6224208050857246,-0.830409210808757,0.10170743714053206,-0.7269631596480127,-0.9930896945303447,-0.58768776755483,0.2636302292419583,0.915484343047197,0.18200100237913425,-0.3614186955892814,1.4693339774074605,-0.113158172383395,0.14060491476283712,0.23960797053718022,-1.8252392039563392,0.09889568527842924,-0.15265825359147434,-0.3283517652123778,0.28725281163304683,-0.31898846279670157,0.14986983844955848,-1.394654613163068,-0.7374329063613237,-1.1515732001071117,-0.6999343703159157,0.196321859230384,0.5017790012213846,0.15769464631082064,-0.21097551635554498,-0.2863801006020834,-0.9521678714264933,-0.49820493877388256,-0.21071945141606652,0.8476023759455485,-0.2142399832027722,0.306102145353429,-0.9422493224200682,1.633106401176514,-0.6835648935834739,-0.3902058869305178,-0.5348714364180623,3.0872286870187295,-0.018651887869506674,0.78159007162628,-1.1773310167690445,-1.4709102922664037,0.3382921855284965,-0.23125387232854777,-2.016486452235306,-0.15677146160611058,-0.3594139993548108,-0.0245088342606385,-0.6047856842130374,-0.4080961993503567,-0.9061415910671441
TCGA-3C-AALI,-0.1906053305484268,1.238035512788906,1.640092332041651,2.347398278600412,0.8561026291360309,1.2204614743639997,1.7328851368089133,1.280071005950788,-0.10271577037450677,-0.3142228076858915,0.34362715957147355,-0.36517064371359503,0.8815990372878018,0.4012806181093561,1.1415866016043201,1.007460151064998,-0.8920353762370775,0.5978679683552388,0.9934006656692532,0.750233087984959,-0.15182740694060237,1.343651324172255,0.8511055000533038,1.2879979985072723,1.0417288942392386,0.624659409939067,-0.9890531132955448,-0.5356656543129141,0.5341479935382325,-0.8715527844789683,0.13628460087263528,1.0628994342506768,-0.43247612133607083,-0.35655658186669315,0.3663428785427349,0.13833443890366826,1.4123411444673812,0.9611606209831246,0.01112129377131976,0.953580197651108,-0.4893991408821515,-0.34283348812124337,1.1666032563464537,2.4914296736592396,1.8729714138971847,-0.5062643411218517,-0.27547416926562124,1.3818534217137273,0.9358898516690296,-0.5047822109936656,0.9173713653269329,-0.6828287315944193,1.2102268768677946,-0.26698850103390964,1.895635639805872,0.43030494825137977,0.16622962684564122,2.8788232713581583,1.0882571845294915,0.19989339468472808,-0.5919537679546363,-1.4874170569889724,-0.31420829278341106,-0.9237888619393693,2.8373118063085303,0.024433759771932316,0.676069255336613,0.4883438369612004,1.144697884823527,-0.665116959481828,0.33076499318696817,-0.07286593585844056
TCGA-3C-AALJ,-0.6181421634128681,-0.21498581775205278,-0.607244236274766,0.8241045876691514,1.315392926804664,-0.08923075616913749,1.0387599306019906,1.135035446508125,0.6353453732741382,0.3288183500625823,1.3934449191046794,-0.9126941349755386,1.142581984763821,-0.47074529660372944,-0.8940705810112587,0.2371337354763833,-1.0558394335296748,1.3712823253655577,0.4388638789022895,0.3322943352185511,0.9558414501255221,-0.41159653780250977,0.6588780594416912,0.12551322664438655,-0.5273105277189878,-0.8656238955127026,-0.551824642533879,0.3945385017496637,-0.8344421858389245,0.7415735486876598,0.8724636097325154,0.44567625753708123,0.0646136332387818,-0.09704961860732134,-0.22414756864911012,1.2924518275563595,0.4047640779448416,0.16462057995016846,-0.8834633742778356,0.7598182794830177,-1.108852293060341,0.878827424650008,0.47977485164631595,-0.32537914349997415,-0.42622935967602754,0.4006941920889548,-0.9189241181167904,-1.6807776930946041,-1.368467589384538,1.1846371724619533,-0.4221932307956273,0.6366185336136371,0.42525036578555475,-0.6046189117269889,1.1543766130876845,-0.10309751121883237,-0.9466414007066795,1.213034101240552,-0.8338307986332375,-0.8332297592080093,-0.34426553458758685,-1.1980034194503726,-1.0720475338239939,-0.7735411181931947,0.2438286312167863,-0.5613859307116277,1.6974776817758006,1.3100168167751787,0.6106158032665614,1.5973058630978714,0.8057471883895366,-3.033187342520947
TCGA-3C-AALK,0.7202340090323381,0.180134017745926,0.7432194813832647,-0.8677237243864202,0.0268284805676703,0.13188611392087363,0.41268621519966914,0.16329719824227973,-0.001413260461949765,0.02921962883886141,0.25099618078913105,0.3727958010307593,-0.070988720999662,-0.10043292186255574,-0.6011702669658526,-0.28770404217739864,-0.7646322205650566,0.8065670805643721,0.007557489194652513,0.08729575601065619,-0.19443005528929858,-0.46543849675878973,-0.7216644685871662,0.41325698205599193,-0.7076598865647601,-0.6738052522367337,-0.22742932551715822,-1.210425145757271,-0.7789588001885004,0.14060491476283712,0.330015918993655,0.8066935873129589,0.18460081537754017,-0.6531359684488315,0.5400165394815123,0.411351455574196,0.10674832587479308,0.4891368929635954,-0.41487140529970895,0.4251386026472245,-1.386538188864354,0.05185696062023589,0.5996972715145935,0.5912015033534213,-0.15251498186969203,-0.9070134604475599,-1.4096910282575121,-0.26060600679235346,-0.49820493877388256,-0.008911675235361361,0.24758906726565277,-0.5348533373654771,-0.15647329867717708,0.28166091634234325,0.0888167621802901,1.1205904840363625,-0.7962534240104204,-0.5348714364180623,0.5500725492439272,-0.7736265003295801,-0.2767141982147523,-0.6605209497358325,-0.7130710512258244,-0.6007562128850937,0.11142858924513574,-0.3535144276368141,0.22036395738682038,-0.15073514733856183,-0.21215929534822164,-0.39362622077226456,0.10206986216351217,-0.401790536598716
TCGA-4H-AAAK,-0.07907398284465877,-0.5463766475245522,0.8978527314967795,0.545374252732792,-0.6621069659352781,-1.807138746868444,-0.48559346342105497,-0.27180948008571176,-0.4066233001121855,0.4311203524316574,-0.227597209586302,-1.0793317192726521,0.3074365528405629,0.24598833192757502,0.021242900380638436,-0.16072716048696797,-1.3470466464942932,-0.5315625212471301,-0.02941162992314419,-0.6476999816130286,0.7641295325563854,-0.6592695490014033,0.10549603343856269,-0.20826952963307477,-1.4831621296015833,-0.0835940421568243,-0.8127513105690665,0.9054278309861051,-0.13165263426686968,-0.4919936472632913,-0.16077008691293174,0.24769901217611648,-0.3981940692964265,-0.30094794688254345,-0.34571913130625526,1.3296814207387035,-0.1628849736171538,-0.30740314806936075,-0.713066294649425,-0.7726623460282487,-0.9806895719200253,0.6157004588223529,1.0248767601384896,-0.32537914349997415,-0.24375310780513829,0.23195772079392074,-0.7008054913875806,0.7520381521362078,-1.0865515194684097,0.4754269875983314,0.41503464178097405,0.3283364623033437,0.10284929873391968,0.049540008990848906,-0.21231971742397332,-0.0403442806929236,-0.1796627195557563,-0.5348714364180623,-0.8338307986332375,0.021083618049447347,-0.321748422463306,-1.5907790703956128,-1.2914220509673189,-0.5556818897612411,0.39180514871451305,0.40238194718067877,-0.31391121951983114,0.04490127642666955,-0.5152869632589296,-0.046721387976710015,-0.14421720201559715,-0.6868585239069592
TCGA-5L-AAT0,-0.04189686694340387,-0.6993262612657072,-0.411375452797647,0.22126921210911948,0.10337686351244058,-0.27632964624529865,0.33102442623414813,0.01826163879961675,-0.16060291889597048,0.7014899301213567,0.23555768432540775,-0.05570084430467333,-0.3841682579708838,-0.3871263732750771,-0.17646481160001232,0.4402967461810725,-1.1468416875811194,-0.7770908885519922,-1.360299918163854,-0.4171130835350095,-0.6630591871249684,0.72985299207065,-0.27895884778466346,-1.2326372988983907,-1.1946031554483463,-0.8951344560166974,-0.22742932551715822,-0.3717954921049988,-0.6125086432372249,-0.14406443814891998,0.330015918993655,0.43403053722173063,-0.1582197050189097,-0.28241173522116025,0.03636292275905751,0.4858106419388864,0.06417464700764437,0.32687873645688065,-0.18057542081064185,0.2489914043125966,-0.4253177803119955,0.23980479335427712,0.6433054241939665,-0.7277804030941469,-0.5357151107985624,-0.25315963417930254,-1.7368689683513265,-0.05066758359984699,-0.6085199226541064,-0.17035789617992528,0.13595868425543942,0.3529990280081666,-0.17049073637507392,-0.14037709702400772,1.061719234747911,-0.9816427385815331,-0.706020637992664,-0.5348714364180623,-0.03616428562070507,-0.5550812177753489,0.33124782914073486,-0.6811933524171605,-0.09483377564008602,0.2781930880300266,0.18931096687551818,-0.1834377433028779,-0.14105748581473881,-1.5201901136951954,-1.1648462516390228,-0.3634605831378692,-0.9886299934868265,-0.5991452970428829
TCGA-5T-A9QA,1.9656673917244039,-1.107191897908784,2.794687266222563,1.9260617257896377,0.0906187996883122,-0.361374596279919,-0.036453624110692924,-0.054256140921716024,0.013058526668418093,-1.6295342667168606,0.20468069139796116,-1.0555263500873509,0.803304153044998,-0.48269085707925086,0.5557859735135053,2.209507964401079,1.2374173685666914,-1.6118873373885254,-0.3251645828655244,-0.5035831703142672,1.3818679336124957,0.9775260032695435,0.11714618135441779,0.862137240498097,0.5367506894710723,0.9640308557350151,-2.2866343813624255,-1.210425145757271,0.016303060800931152,-1.1245922092894196,-1.6202126834246287,0.7018821044748011,-0.8952838238712791,-0.8384980850626671,1.5646911390203024,0.9201558957329097,1.2136639764206847,-0.15989573306325852,0.11761946853907411,0.0728442059779656,0.2795771859597353,0.46534219263512194,0.3707544699478797,-2.4938748202019103,-0.5722103611727396,0.7381671346790228,-1.5950918609773403,0.7026408760909111,-1.1478376216240895,-1.8828410254847676,1.4894770782542759,-1.1144236314288296,-0.3877610206924801,0.7459027310453245,-0.4748489560533313,-0.652188278320521,-0.961680198376305,-0.5348714364180623,2.0589116160266694,-0.1577261585858369,-0.6820222164517437,1.8201673720235876,-1.0521043959018737,-0.6533429231962551,-0.18452444575031915,1.762995421852172,1.304628286991498,-0.5420079948690292,0.27861883365006956,-0.12213548206270106,1.3335051830590525,0.4095568118939694
TCGA-A1-A0SB,-0.04189686694340387,-1.8337025631792645,0.9700149148830862,0.37035753079600914,0.4606026505880443,-0.5314644963491567,-0.8122406192831367,-1.4175903996827521,-0.9131358496749808,-0.036545944112686954,-1.7096928701037684,1.1583729841457207,-1.0757730687823328,1.0702320047385725,-1.5311287640600197,-0.05914565513462302,-0.8738349254267893,-1.304976878257447,0.007557489194652513,-0.9071102419507994,0.29550040072071554,-0.31468101168120394,-2.13715744036359,0.2291009785925643,-0.8519393736413786,-1.7804512711365628,1.0913081588768996,0.32706255260522793,0.03479752268440585,-1.678115951062281,-1.3877351016794033,-1.2778903491348483,0.08175465925860399,-1.1536136833061885,-1.4572305613144356,-1.4749479323312777,-1.0853146824053959,-1.5317146926200136,-2.630033440469045,-1.2658745013652104,-0.8738873043030987,-1.132214385604205,-0.4578004309602239,1.1948033927446806,0.3949137737429757,-0.48517228220997294,0.040797839491731755,0.011079011456773463,1.4752075506390128,0.4927247969852496,-0.6873153904448831,1.105207282005284,0.306102145353429,-1.6386120444745438,-0.42852026688344486,0.22635694904218245,-1.2774949494384513,-0.5348714364180623,0.28098023160114516,0.0012158650899685708,-1.1773986831858465,-2.293640761560781,0.08465446565899873,-0.39040937164045003,-2.450901634794455,0.6858430877372402,-1.146751936462552,-0.47679585361395055,-1.1792809024919133,-0.06180420679391037,0.1196617953191624,0.6288398790541544
TCGA-A1-A0SE,0.3298742920691518,-0.32969802805791787,0.5988951146106506,-0.1871031390767073,-0.6748650297594064,0.029832173879329797,-0.050063922271612694,-1.2870583961843551,-0.4066233001121855,-0.12423337471475164,-1.3700459479018503,0.42040653940136624,-0.7495443844373104,-0.2915618894709033,-0.19110982730228238,-1.278123719362761,0.19999167238023935,-0.040505786637404034,0.22937220390143712,-0.7629934306520381,0.700225560033341,-0.6485011572101473,-1.7410524112245083,0.1024937262114586,-0.8339044377568017,-0.26065740518079583,-0.27679383028057236,-0.4537305732089564,-0.13165263426686968,-0.46036371916198277,-0.28992429899361233,-0.9285187396743214,-0.621027407554118,-0.11558583026870786,-0.18941283646135526,-0.42010945883150635,-0.13450252103905463,-0.6319194610827851,-0.6704670247423231,-0.6317445873605458,-0.681643222592627,-0.3992178379414537,-0.5014085836395968,-0.3924460200990016,-0.9919057404757872,0.33741801535331845,-1.1915724015283025,0.5050517719097305,-0.15500276670207447,0.4062357500506614,-0.1431172732700927,1.5368021818396946,-0.2686128002603544,-0.6046189117269889,-1.277879568331368,0.4930581787772885,-0.4353222799393973,-0.5348714364180623,0.5404621093281136,-0.25706492338321313,-0.2091628618419217,0.8692368486824756,-0.872616154602789,-0.41294653320237573,-1.1658424038931412,-0.29682219952550315,-0.5967627837645286,-0.11160786258551601,-0.1544206919366566,-0.22771521378308746,-0.0914414025486465,0.8261946394983212
TCGA-A1-A0SF,0.6830568931310833,0.21837142118121586,0.33086414774722467,-0.08338952607713257,0.03958654439179868,-0.2593206562383752,0.6304509857743903,-0.6198948227481045,0.620873586143773,0.17536534650896923,-0.6135596211793926,1.2535944608869303,-0.12318531049486678,-0.5065819780302938,-1.4212911462929918,-1.1850073394564455,-0.25501959787697626,0.25412825412843165,0.09381876713618034,-0.07123273641798095,1.0197454226485703,1.332882932380999,-1.9099795560044106,2.473502270803088,-0.11250700237370928,-0.4819866089607621,-0.4671997772251687,-0.964619902445398,0.6821036886060333,0.23549469906675707,0.1492000220807031,0.7834021466822556,0.27030594547665415,0.9965868694143124,-0.015739175522577867,0.5230402351212305,0.37638162536674247,0.031863906444676196,-0.5639688499745689,0.6893594001491677,-0.25443415212490916,-0.28644913830103297,0.5015789279860025,-0.14653413923589687,0.0664565203753744,0.3585100742651972,-0.8643944614344882,-0.35940055888294486,-0.15500276670207447,1.5075296143510821,0.8615561738218249,0.8215877763998136,-0.9905108417020572,-1.0688607264299739,-0.4053559222985013,0.19498033377922946,-0.4653998752786486,-0.5348714364180623,-0.8338307986332375,0.43830643019843457,0.21866226851934656,-0.18505568806527653,0.46357408617928836,-1.089061380060161,-1.368336585732136,-0.6369755681933756,-0.4867649532249234,-1.1158748379137127,0.03322976915092396,-0.3182121266862762,-0.7071590629964167,-0.050937629142418554
