mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11703853607177735,0.08545575917911827,0.0204190731048584,0.03447218982895666,0.001,2000,l2,lbfgs,"{'C': 0.001, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6625138039071802,0.7164917139823662,0.6732905982905985,0.6641888367240479,0.7080768976242472,0.684912370105688,0.022803843880058804,11
0.4478495121002197,0.22014693175320504,0.004016447067260742,0.0011477034599737678,0.001,2000,l2,saga,"{'C': 0.001, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'saga'}",0.6515731957798713,0.7164917139823662,0.6732905982905985,0.6641888367240479,0.7080768976242472,0.6827242484802263,0.02524259049412191,12
0.2970132827758789,0.15193769162064444,0.004020261764526367,0.004018045095271277,0.01,2000,l2,lbfgs,"{'C': 0.01, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7701584743486437,0.8064370822435337,0.801197865380289,0.7595382421108932,0.7961999447666391,0.7867063217699998,0.01844653045599225,4
1.0535064220428467,0.44588859338364645,0.0032086849212646486,0.000981555343993995,0.01,2000,l2,saga,"{'C': 0.01, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'saga'}",0.7598228663446056,0.8064370822435337,0.801197865380289,0.7500662092211389,0.7961999447666391,0.7827447935912413,0.023135194480799447,5
0.18866825103759766,0.0944496851866316,0.0027678489685058595,0.00093006472743235,0.1,2000,l2,lbfgs,"{'C': 0.1, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7713365539452496,0.8449276624149289,0.8229600952948184,0.7427536231884058,0.8350538350538351,0.8034063539794476,0.039535191256956294,1
2.2248091220855715,0.5132914468694042,0.002725028991699219,0.0010594662668145815,0.1,2000,l2,saga,"{'C': 0.1, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'saga'}",0.7617790512370619,0.8343745335532232,0.8213497893366863,0.7427536231884058,0.8350538350538351,0.7990621664738425,0.03898662421263037,2
0.22657222747802735,0.025674707255758388,0.0026521682739257812,0.0007904031504506795,1.0,2000,l2,lbfgs,"{'C': 1.0, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7617790512370619,0.8469045969045969,0.7852705646823294,0.7519416573764399,0.8147884565520819,0.792136865350502,0.03491989894096179,3
5.243281078338623,0.6757153767902943,0.0028076648712158205,0.0009810892304359434,1.0,2000,l2,saga,"{'C': 1.0, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'saga'}",0.7679665001679279,0.8156498939741198,0.7315819108582265,0.750937950937951,0.8055331721729787,0.7743338856222407,0.031925077074005166,7
0.21766133308410646,0.030657925516743248,0.0027081966400146484,0.0009728813897762428,10.0,2000,l2,lbfgs,"{'C': 10.0, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7695171536576129,0.8366123809161784,0.7508657601540111,0.752152080344333,0.7888949860780846,0.7796084722300439,0.03167812055139874,6
7.860577535629273,0.4548552933381772,0.0041839599609375,0.005958679213002785,10.0,2000,l2,saga,"{'C': 10.0, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'saga'}",0.7756041756041756,0.7822111434242718,0.7289557226399332,0.7315830041785145,0.7958385723424438,0.7628385236378679,0.027394215382658817,9
0.38154258728027346,0.1509481844903271,0.019637584686279297,0.0338459738712875,100.0,2000,l2,lbfgs,"{'C': 100.0, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7679665001679279,0.8366123809161784,0.7311723488194076,0.7614097847974532,0.7708473060585738,0.7736016641519081,0.034521241897006255,8
9.298046112060547,0.21904736834592617,0.0031815528869628905,0.006363105773925781,100.0,2000,l2,saga,"{'C': 100.0, 'max_iter': 2000, 'penalty': 'l2', 'solver': 'saga'}",0.7651529790660225,0.7701683928697246,0.7289557226399332,0.7315830041785145,0.7958385723424438,0.7583397342193278,0.025186675327907936,10
