,glycolysis_score,oxphos_score,metabolic_ratio,metabolic_label
TCGA-3C-AAAU,0.07532985656240987,-0.49924622334415175,0.5745760799065616,Glycolytic
TCGA-3C-AALI,0.7811691322909948,0.2958021880590219,0.4853669442319729,Glycolytic
TCGA-3C-AALJ,0.047074574837482085,0.05145563728746742,-0.004381062449985339,Mixed
TCGA-3C-AALK,-0.17404548960592195,-0.028398083124025884,-0.14564740648189606,Mixed
TCGA-4H-AAAK,-0.09754230901281587,-0.34732115413284426,0.2497788451200284,Glycolytic
TCGA-5L-AAT0,-0.34219789859643984,-0.16105695585301996,-0.18114094274341988,Oxidative
TCGA-5T-A9QA,0.03600524939274064,0.12105953414503468,-0.08505428475229404,Mixed
TCGA-A1-A0SB,-0.36547470044436675,-0.6628022648979187,0.29732756445355196,Glycolytic
TCGA-A1-A0SE,-0.2560312703731307,-0.32089394163272844,0.06486267125959772,Mixed
TCGA-A1-A0SF,-0.25796095899441296,0.19154967021020172,-0.4495106292046147,Oxidative
TCGA-A1-A0SG,-0.040926869194905145,0.034020856759014895,-0.07494772595392005,Mixed
TCGA-A1-A0SH,-0.43373162393196635,-0.7107936678099348,0.27706204387796846,Glycolytic
TCGA-A1-A0SI,-0.0637677867174643,-0.15063247883665154,0.08686469211918724,Mixed
TCGA-A1-A0SJ,0.12611026230984432,-0.024163518884453963,0.1502737811942983,Mixed
TCGA-A1-A0SK,0.5491175745602573,-0.2095597576734489,0.7586773322337063,Glycolytic
TCGA-A1-A0SM,-0.1394592253477219,-0.49370213004081004,0.35424290469308817,Glycolytic
TCGA-A1-A0SN,-0.23515200677523707,0.009707230448706392,-0.24485923722394345,Oxidative
TCGA-A1-A0SO,0.02108180664322683,-0.5041100815157609,0.5251918881589877,Glycolytic
TCGA-A1-A0SP,0.6694102976729445,0.45034682730459435,0.2190634703683501,Glycolytic
TCGA-A1-A0SQ,-0.02683185092666439,0.055381723823534484,-0.08221357475019887,Mixed
TCGA-A2-A04R,-0.1529901130144065,-0.012865116336078815,-0.14012499667832767,Mixed
TCGA-A2-A0CK,-0.16167195231524864,-0.08993152900084629,-0.07174042331440235,Mixed
TCGA-A2-A0CO,-0.31692562605430535,-0.4298564089045042,0.11293078285019886,Mixed
TCGA-A2-A0CR,0.0753965834530564,0.5102495928044787,-0.4348530093514223,Oxidative
TCGA-A2-A0CT,-0.23144150884504566,0.232883317574553,-0.46432482641959866,Oxidative
TCGA-A2-A0EN,-0.012607898804606025,-0.065254588248068,0.05264668944346197,Mixed
TCGA-A2-A0EP,0.26490453160755784,-0.12719644263097243,0.3921009742385303,Glycolytic
TCGA-A2-A0EU,-0.10444363863229611,0.041506767469042256,-0.14595040610133836,Mixed
TCGA-A2-A0ST,0.24182566044690623,-0.28738613336715774,0.5292117938140639,Glycolytic
TCGA-A2-A0SU,-0.09347434524552953,-0.04077577384206774,-0.052698571403461784,Mixed
TCGA-A2-A0SV,0.65190968590396,0.5430509496271239,0.10885873627683618,Mixed
TCGA-A2-A0SW,0.11751839136994965,0.6463954361096445,-0.5288770447396948,Oxidative
TCGA-A2-A0SX,0.17286140921945511,-0.6633593840477525,0.8362207932672077,Glycolytic
TCGA-A2-A0SY,-0.14160777769245203,-0.049758400900174735,-0.0918493767922773,Mixed
TCGA-A2-A0T0,0.6074763463570229,0.7649479680577023,-0.1574716217006794,Mixed
TCGA-A2-A0T1,0.2507268441117233,0.3419789264356141,-0.09125208232389082,Mixed
TCGA-A2-A0T2,0.8399108773622707,0.6338807463639899,0.2060301309982807,Glycolytic
TCGA-A2-A0T4,0.05561529945543953,0.2471638394597017,-0.19154854000426216,Oxidative
TCGA-A2-A0T5,-0.2142675638870765,-0.11789614903884513,-0.09637141484823136,Mixed
